origin,dest,dayofmonth,distance
PHX,BUR,3,369
PHX,BUR,3,369
PHX,BUR,3,369
PHX,BUR,3,369
PHX,ELP,3,347
PHX,ELP,3,347
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAS,3,255
PHX,LAX,3,370
PHX,LAX,3,370
PHX,LAX,3,370
PHX,LAX,3,370
PHX,LAX,3,370
PHX,LAX,3,370
PHX,ONT,3,325
PHX,ONT,3,325
PHX,ONT,3,325
PHX,ONT,3,325
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SAN,3,304
PHX,SNA,3,338
PHX,SNA,3,338
PHX,SNA,3,338
PHX,SNA,3,338
